name,id,description,friends,followers,location,tweet,flag
Jenée Rochon,JeneeRochon,Where's the air in here?,242,157,"Taylor, MI",Just remembered I had a dream last night in which my workout buddy placed chocolate covered pretzel crisps in suici,0
Global News Thailand 🇹🇭,GlobalNewsTH,🏳️‍🌈😎ATHEIST☕☮📡🌐NewsGeek📰📱TechGeek🖨🏁Motorsport🏎 Music💿🎛80's🎼💃♒Comedy🎭🍴🧀Wine🍷🛫Aviation💺⛵🗺Travel🚞COOLJAPAN♨🏝Photography🏔Pro-Choice⚖Pro-Euthanasia⚕☯️ GEN X 🥃🇦🇺,6052,5502,กำแพงมีหู ประตูมีตา ,Outofbusiness Krabi tour operator found dead next to stove in suspected suicide nationnews Thailand,0
Clarex☭ 🧚🏼‍♂️🦖💜🥳,perciak_,Scared pottah?,161,65,"Curitiba, Brazil",Not my mom thinkings that Im not depressed,1
Edmund Tiao,edmund_tiao,This account is sponsored by Raid Shadow Legends,47,15,"San Francisco, CA",alesix Depression is the answer,1
z0e,zoe6942069,"If what I say makes no sense, I'm most likely not being serious (especially if 🙃 is there) - Anarchist Shmuck on the Internet - Tweets =/= Endorsements",28,13,"places are like made up, maaan",actualylaughing rdickeyvii MattBinder what president would ever even consider dissolving the senate its polit,0
maeve ⁷ ꧂,BTSV0L6,#yoongi : i love maeverie ! // ! SHE ! FAI ! XE ! // ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ jimins real wife,537,445,tae | readcardbyf | anti | 14,tw suicide i am suicidal but not tonight i think so pls dont worry,1
علي,Ali_N01,🇱🇧,789,1102,,Not a suicidal tweet but man living on this planet with all the suffering and pain you see around you just gets t,1
Cloutcaptor Sakura,highlordsix9,lost interest in life so I open Pokémon cards on YouTube,392,32,,Ibenchaux DianaHollins BBCLondonNews suicide isnt the problem its deteriorating mental health leading to suicide,1
elise,carabinerdyke,how about we abolish the US 🌈 she/they,297,613,just gay & dumb,HOW did she make this song even more depressing than it already was Im sick NowPlaying,1
Steve,JokesOnSteve,22 and dying slowly,15,0,,I havent been on my meds and thats my fault but having Bipolar Disorder isnt fun and dealing with depression is,1
butwhy?,cu_rious,,672,5191,,HaawwHayeee TheDumbMedico I never talked about judgements I never talked about taking anyone seriously or not,0
Alexander Fleming Jr.,penicillinG85,Penicillin... ever heard of it?,533,455,,53SinceStanley EBrooksUncut RightHandArmMuh Is ghislaine maxwell still alive or did she commit suicide too,1
Dorcas Hellina,DorcasHellina,"God will make away where it seems to be no way ..
Our God is still faithful.",587,627,Nairobi,IsaacWaihenya Thats weird How can someone comits suicide using woman underwear my GodUnderpant is just a very,0
Skye 🤍 (anti-fracking era),GagaXArtpop1,ARTPOP. pronouns: she/her,401,330,,SelfInfIictedd She needed a break after ASIB She was so so depressed and not doing well mentally or physically an,1
Teej,MonsterFiend,"If carrots got you drunk, rabbits would be fucked up! -Mitch Hedberg",158,44,"Dallas, TX",Yamiche He didnt wanna end up like Epstein involuntary suicide,1
#SARSMUSTEND CHECK PINNED,chinasa__n,🇳🇬 in 🇨🇦 Ubc ‘20-something• she/her• Writer/Creator • Pan-African activist and intersectional feminist • Click the link below to check out my latest work,909,438,Suffering,The thing is in my case they really did UBC niggers can talk sha Every time I reconnect w someone from first year,0
Jen,JCope222,Rebuilding a life but Voting Blue straight thru !!!!!! Leader Dogs For the Blind . Life is a gift . DO WHAT IS RIGHT . #BLM#Vote Blue#fucktrump,4101,3769,"Colorado, USA",SerenaShimAward You dont have to loosen up Depression is real and people suck Im sorry,1
🗺 a tiny map,tiny_map,"i tweet tiny maps that make stories (header by the brilliant @tomgauld)
(bot-in-progress by @jonnysun)",3,128,,their exorbitant spectacletheir BarrymoreSamuelan unbalanced depression,1
Bat in a cat suit 🦇,whiskeysleeps,Ⓥ The deepest sleeping cat you’ve ever seen 💤 Peep to lighten your heart. Whiskey has a dog bro and cat bro. Donate to our future foster home $MusikHaus 🐶🐈,611,88,Cat Town,lifesafeast nealrogers We annihilated an entire population and enslaved another for 400yrs and there were never a,0
Ready 4 Thanksgiving Food,AdmiralKip,"'Become someone you can be proud of.'

Apparel: https://t.co/fRvWT6Fpyg",261,234,"Pallet Town, Kanto",Im ready to get back into the swing of things tomorrowNot staying busy and letting the depression and suicidal t,1
bonkers,ewwhatthefucc,mentally ill asian bitch dont follow if that triggers you. 23|| H: 5’9” CW: 189 HW: 210 LW: 130 GW1: 185 GW2: 175 GW3: 165 GW4: 145 GW5: 125,43,45,,i need to lose weight to feel successful it actually helps with my depression too when im not also fat as fuck alongside sad as fuck,1
lia gabriela,lia_gabu,,56,3,,Domain Major succeeded after Vargass suicide Juscelino Kubitschek 195661 who designed and,0
داوود,ComradeDoom86,"Aspiring Arabist, practicing dilettante. The real people went away...",235,205,"San Francisco, CA",Feels like every friend I get back in touch with now has a family member who just attempted suicide,1
dani ミ☆,pedretticore,xe/she/he !!,686,847,13 • nd • poc • lesbian • blm,tw suicideim so sorry i just dont like feeling like this everyday i love you all so much thank you for everything lt3,0
POISON HER,campbeeell,you in my business?...,1055,1116,dont do that🥴,i hope you got my note bitchayy i left it on the suicide door bitch,1
maanvi🎃✨,MaanviKAmin,"• actress • singer • @LCMlive •
Instagram: @MaanviKAmin •",492,218,"London, England",a video came up on my tik tok and it said this video might make a slot of people sad I was like sir I have de,0
𝕲𝖚𝖙𝖙𝖊𝖗 𝕽𝖆𝖙 🐀,whiskyspit,"gay, tattoos, punk music, anarchy & poetry 🔪",635,876,"Creeping through OC, CA",cemeteryinme Suicidal tendencies and Deftones,0
lex,lexxbrvh,"life, for all its anguish, is ours",1300,558,venmo: aleixs,yall watching Hamilton cures my depression for three hours,0
Nez || Used to be a ball✨,cyan_ramonium,"Mizuena and Anhane central  i """"draw"""" || they/she || Project Sekai BRAINWORMS / BANDORI / TOH / FE3H || BLM  🇻🇪


En servicio de Project Sekai Español",236,250,,To those of you signed up for the Hunger Games round I am doing it now in randomly selected groupsFor no one to,1
🌱🌱,hummusluvr76,🤠🤠 she/her 19,311,166,,tikvahstopthat stop being depressed emma ur too sexy,0
Bunny T.T,RealDazai,TheyIt17 (.﹒︠₋﹒︡.),99,102,★,king im not depressed anymore just for you,1
😼,ChristianXXL_,999. • #ThunderUp,338,521,Jupiter,spliffyanna bet we can be depressed together,1
i tried to give up sugar and i failed,teateateahoney,Black tea w milk+sugar. Sleep aid: peppermint tea w honey. Fevers: cowslip-limeflower blend. Sore throat: chamomile. Spicy chai is christmas in a cup. 🍵🍵🍵🍯,1101,347,22y 💚 no rly I love tea,jackaltox Hey the teenagers in the qrts If your reaction to a conflicting opinion from a mlm is to suicide bait,0
Raga 🦋,haha1hmm,"Jaane do sir, kaam bolega | FAN ACCOUNT",202,374,,The deliberate attempt to suppress our voices is clearly visible If any of you still think that its just a matter,0
ada ur league,aduumbchick,i am beyoncé always,347,274,hell,my seasonal depression is suddenly cured,1
Win.Fe,WebWinz,Trying to be on the side of my conscience. Truth prevails. Incorrigible contrarian if reasoning supports. Justice is fundamental right of humans.,87,5,"Jersey, US",republic Trust justice prevails Justice for Anway Naik also He committed suicide blaming his clients Is there,1
nyc,lannydopez,20 🇺🇸🇩🇴 //,129,181,"Brooklyn, NY",justseekheIp Spare us the only ugly depressed horny ppl awake tonight Ive had a rough day,0
Bella,isabellaa72_,🌞🌈🦋🧘🏼‍♀️,171,201,"Tampa, FL",curing depression aha dont kys,0
Jasmine Marsh,Pidmon,"32 year old trans woman, she/her, severely mentally ill. Always needing help https://t.co/cG0JoJlbFp donations greatly appreciated
Icon by @dolloccult",499,313,,lmao and i of course missed out on the rpgstuck thingwhateverlove to be depressed and executively dysfucntingonal,0
Berny Belvedere,bernybelvedere,"Editor in Chief @ArcDigi. I also run @RepDisc and @InfiniteQuark. More life, more everything.",3058,12051,,Upon being elected senator at 29 Bidens wife and baby daughter were killed in a car crash The pain was so great,0
REYMARKable | 🕵️‍♂️,reymarksalas3,https://t.co/XD2JTenCKI,183,197,"Nueva Ecija,Philippines",Family issues abandon issues trust issues commitment issues food disorder anxiety attacks sleep par,0
Ritesh // Zynab says STAN acc,am_rax__,"Dumb af 🍂



He // him


medico 🩺



New here 😁


Baller 🏀
dance 🔥
sketching 🖤 and Sarcasm 💥",369,115,"New Delhi, India",Me Mai bahot depression mei huSome random guy chal bey sympathy ke liye bol rha bas Me,0
фу,nowhereboyyuck,no pleasures,63,4,,fuck depression and anxiety,1
TEJAVARDHAN,de_ja_vu_u,"Indian 🇮🇳
patriot         📐📏🚗
Engineer 🗜
Less bad person👤
beyond the 3rd dimension ♎",100,12,"Gurgaon, India",Dear teenagersSuicide is never the solution,1
♡༄,pjydise,,335,907,peru,im gonna use my nights to be on ahgatw then im all bout my countrys politics its so depressing,1
Priya S🇺🇸,psharmaaz,NRI 4Arnab| Stay United|Let's Fight it together🙏|#JusticeForSSR|#JusticeForDisha| #JusticeForJiah | 🙏💪|backup account @psharmazzz,253,236,United States🇺🇸,HadaDH KaurJustice4ssr kanishk2414 LiveLawIndia Yes this is a conspiracy They were anyways bankrupt She k,0
Quotes_about_Diet,DietQuotes01,,36,217,,If you really want to be depressed weigh yourself in grams,1
Chachi 🎰,Aka_chachii,,133,684,,Depression is a hell of a drug,1
Phani Rao Sharman,phanipeddapall1,"నా తెలంగాణా కోటి రతనాల వీణ, Most Interested in Railway Development of my Peddapalli District,Jai Telangana,Jai Hindustan,  Proud Hindu",5001,2654,"Peddapalli Dist, Telangana ",Why to participate in this useless bettings and why to take the golden life by committing Suicide Disgusting,0
Berns,BernsWilkinson,,322,17,,xml010 SteveLaws Laughing at a man with a speech impediment Classy Like Trump laughing at people with handica,0
🥀,anienty,@qtspawnz · @rynsiwtf · @rxmiwtf,287,622,ras,gn im depressed,1
Karen Smith,taylorlaveystan,Stan Account,675,182,,fuckitilove taste so u like the songs with the least depressing production i prefer the sadder tunes IKTE garden song and CS,0
El Sombrero,TheHatInSpanish,"Occasionally funny, often annoying. Follow me for my *riveting* twitter escapades. Header by @Clickfann (i love you 💋) #BLM he/him",478,87,DO I SEE MEXICOOOOOO!,DoodleBass Yoooo youre not all depressed and shit,1
SBK1963,sbk1963,"Logistics Professional,Ayyappa Devotee ,Holistic Pursuit ,Narendra Modi Supporter for life",998,394,"मुंबई, भारत",SChauha72553505 sureshseshadri1 IndianRajeshNCo nairhena neerangautam benmohan Amdilip1 Visalmama,0
jillian,jdev4048,literally downloaded this for benjey,48,5,"San Antonio, TX",HAHAHAHA reread all my tweets All I got from it was that I fucking despise someone and I was hella depressed for months Check back later,1
noelle struggle tweets,noellesucks,inventor of music | 𝐁𝐋𝐌 𝔸ℂ𝔸𝔹,647,414,(she/they) ♏,Paranoia death suicide identity numbness his films tackle some HEAVY themes and they all do it so perfectly its almost unbelievable,1
noelle struggle tweets,noellesucks,inventor of music | 𝐁𝐋𝐌 𝔸ℂ𝔸𝔹,647,414,(she/they) ♏,But literally all of them except maybe Eternal Sunshine make me feel just like absolute garbage after watching,0
noelle struggle tweets,noellesucks,inventor of music | 𝐁𝐋𝐌 𝔸ℂ𝔸𝔹,647,414,(she/they) ♏,I FINISHED ALL 6 good CHARLIE KAUFMAN MOVIES NOW I DONT HAVE TO KEEP WILLINGLY MAKING MYSELF even more DEPRESSED ANYMORE WOOOO,0
Eduardo Bello,EduardoBelloJS,Estudiante de Ingeniería en Sistemas Automotrices,223,75,México,I want to say it and I want to feel the freedom it could get Im depressed and its okay I know hard times and g,1
nana나나🧃lvsd 📌,luv4ity,✧ 🍎 cravity & wei luvr + lee eunsang !⚡️010920 SHE!HER,219,321,starship’s basement,tw suicide self harm funny story while i was sobbing my eyes out in the bathroom and i tried choki,0
nah,eatmypillows,#blacklivesmatter,313,7,,time to play another game of am I depressed bc I am depressed or am I depressed bc my period is coming soon,1
🌱J.A.I.R.U.S🍁,jairuskipto0,"《me ,myself and i》somebody`s futures husband ¿¿¿second born~hustler¿here just for fun
I apologize in advance.@Manchester United fc❤https://t.co/1pBZLQMoMV",620,340,"Nairobi, Kenya",IsaacWaihenya Why such surelywhyhow can one commit suicide juu ya staff ya kukojolearatio f to mno need of such,1
Alok Mishra,Sralokmisra,"# Truth # Human, Indian/ Whole country is my state",278,20,India,sssuryawanshi NewIndianXpress What about the bus conductor suicide Is anybody arrested as named in suicide,1
JJMonti,MontiJj,🥴,59,67,,Some people have weaker wills or mentality than others so they will most likely choose suicide as an escape from t,1
Shinichi,ShinichiKudo_OD,"[VERIFIED by @OD_RP]- Official RP from Indonesia- Best Detective from Beika - I like lemon pie - Imouto @JA_AokoN, I'll waiting for you, baka..",275,350,Beika City,A detective who uses his deductive powers to corner a suspect and then does nothing to stop them from commiting su,0
Jonathan Rutledge,J_Rutledge_ALWX,,121,56,,RealMistrfister As long as you dont get as bad as me Depressed Single Alone Surrounded by large number of firearms,0
Ikenna Ikekwere,IkennaF99,I’m a lot 😂  Here’s to a fresh start,68,28,,TimeCapsule14 Its real depressing,1
Emma Beeghly,beeghly_emma,,91,26,"Garwin, IA",Anyone else just lay there and think where tf is my life going Not suicidal or anything just genuinely confused on,1
MicoRx,MicoRx,queer as a 3 dollar bill • he/they • 20 •  I'm not used to being loved. I wouldn't know what to do. - F. Scott Fitzgerald,378,210,"Texas, USA",I really fuckin hope I get paid by twitch this week its really depressing not even being close to my goal,1
ivan,DQDsudeikis,@clanoftwo would I do it again? probably,621,1300,19 he/him,depressed oscar isaac search for a cat,0
The Black Sheep,emartine91,,270,86,,I feel fucking depressed and lonely today,1
Dania,lillydania_,nice for what,76,39,,stressed depressed but still well dressed,1
Moataz El sobky,MoatazElsobky73,,177,189,مصر,mrjc1 Almighty never burdens us with something that is beyond our abilitiesBut sometimes we feel tired depressed,1
❄️BugsHoney the Anti-Hero❄️,SunCal44,"Age: 20. ♏️. she/Her : Ed vent account. DNI if not ed twt. Not pro. I am ✨homo of the sexual✨ location: your mom’s house 😏. ‘Tis I, the fucking fool 🤡",214,79,,If i dont get to 100lbs by the end of this month I am convinced my depression will get worse,1
"Sveiki, Lithy!",AMF_SveikiLithy,Patikrino pareigūnas iš @AM_Family • Sveiki! Aš esu Toris ir aš atėjau iš Lietuvos! • Preferably ENG  • @ = fb • 『 The RL is called #Hagia 』,61,120,"Vilnius, Lithuania",After the Great Depression I returned to Russia from America in 1918 I am sure that America have recognized me ev,0
Chris Ray’s Music,chrisraysmusic,"G💜D*  “Oh, yeah. The Golden Rule.” IG:chrisraysmusic",389,234,"Mississippi, USA",When Im drunk and Im down and depressed I just need to confess to you,1
Mohan Raj,mohanrajtn,"ಕನ್ನಡಿಗ, ಹೆಮ್ಮೆಯ ಭಾರತೀಯ |
Proud Bhaaratiya | Views expressed are Personal | (RTs neither Represent My Opinion nor have My Endorsement)",2685,268,"Karnataka, India",barandbench TRP Scam Case Breach of Privilege case in Maharashtra Assembly Reopening of Abetment to Suicide case,0
Lew Geffen SIR Zululand,LGSIRZululand,We are an innovative team of enthusiastic Agents hungry for the opportunity to showcase our skills in marketing & selling your property in Zululand.,670,301,,Its Movember Lets help raise awareness and funds for mental health suicide prevention prostate cancer and tes,0
Jazz ♥,princesstoxica,i be liking my own tweets....gotta keep it real💀💀💀,416,451,"Texas, USA",i am depressed,1
lizⓋ 🌱,_lizbethgarcia_,sc & insta- lizbethgarciaa7 | ACAB ☮︎ | (she/her),125,114,"Tampa, FL",just seen some titties my depression is GONE,0
Priti🦋🌪,SushixMahi,"Photon's Army 
👧 cricket fan #MSDian❤#SSRian
 :):",158,106,,The deliberate attempt to suppress our voices is clearly visible If any of you still think that its just a matter,0
Dummi's_uncle,Smart_Dummi,"Allergic to hypocrisy. Blocked by the high & distinguished for asking uncomfortable questions. No abuse, only facts. India 1st, always, everytime. 🇮🇳",798,91,Mumbai,Everyone knows Kapil Sibals feesMeanwhile Maharashtra State transport staff is committing suicide for lack of,0
Chayy✌🏼️😈,Holla_at_CHAY,I'm weird and probably a little awkward 🤙🏼☺️,1393,1290,,Stress of school causing me to get depressed bc I feel like Im not doing well enough is an amazing thought to keep,1
²⁹ jackie,johnnyonIyfans,#JOHNNY,543,1753,22 | she/her,my depression session playlist hitting differently tonight,1
Chloe,DreamRedux,Dreamer. Believer.,766,906,,Just went for a walk to get some air and was seriously considering suicide had a full box of antidepressants ready,0
alejandra 🍃,aleboo420,just your average feminist in the closet trying to hide this account from her family 😌✌🏽| ♋️ | she/her,22,2,Texas 🤠,My mom is so quick to tell me I disappoint her like girl chill Im severely depressed 90 of the time,0
Rup Kumar Sengupta,rupsen,"Founder and Principal Consultant at Rachis-HR, #CertifiedNLPPractitioner #LifeCoach #ChangeManagement #Trainer #PeopleStrategy",358,232,"New Delhi, India",Work from home is a boon for a lot of us however it is also leading to rise in depression High time organisations,1
Moataz El sobky,MoatazElsobky73,,177,189,مصر,Almighty never burdens us with something that is beyond our abilitiesBut sometimes we feel tired depressed becaus,1
rhi | Mrs. Balls,rhitweetsstuff,"what do you mean this isn’t a simulation? come on, just restart the game ☾Skinny Bag of Wet ★ twinning with @awgingersnap",93,48,she/her ~ 17 ~ blm,my parents really be like no you cant see your friends go die bitch see if i careAnd see nothing wrong Like h,0
D$PR$SS!ON,SadnessHauntsM3,Hopefully my posts will relate to you.,13,1,,Ive run out of reasons to live so suicide might be coming next,1
𝕾𝖕𝖆𝖈𝖊𝖘𝖍𝖎𝖙,chichiee04,@sairel_🍒,1061,1484,Bahay po namin,Ppldepression,1
ronnie ✞ ♡,notsobone,tw♡  🔞 NSFW 🔞  sw: 189 lbs | cw: 166 lbs | gw1: 150 lbs | gw2: 130 lbs| 🚨NOT PRO ANA🚨,303,121,she/her 18,one time this girl on tumblr gave me such good meanspo that i was super depressed and i was motivated for an entire,1
alyssa misses punz,uhalyssaa,she/her | “feed yourselves you starving fucks” | married to cake and dino | minor |,1832,1269,uh i dunno,tenchoblade ive just encountered some people dont understand the difference between normal emotions and like depr,1
ραяα∂σχ🦋🌪🌈✴|| Sush's BOT🧡,swa_gulabjaamun,"✴I am a noun in your life ,only a verb in mine  🦋🌪️🌈🌠
✨❤️backup ~ @swa_twits
(fan account💛)",669,1149,Horizon ❤️,The deliberate attempt to suppress our voices is clearly visible If any of you still think that its just a matter,0
The Helium Wolf,Lobow0lf,"Lover of fursuits and squeaky things. Love old cars/machines/radios/hifi, etc..  Comm Tech, squeaky floaty inflatable wolf toy/wolf balloon. Greymuzzle.",2715,2655,Old Wolves' Home ,ZiaMcCorgi555 NH favors cranberry saucecan confirm Back in the depression and then again in WWII when meat,0
Pendra ⚔ #Winnable,Pendrahaal,Twitch Affiliate!! mod for some pretty cool folks too! | Extremely chaotic support main | 20 | artist and cocktail mixologist | Black Lives Still Matter.,69,103,sleempn zzzzzz,Not me getting depressed at 6am smile,0
Miranda Mitra,MirandaMitra1,Indian,71,19,,kadyananoop RepublicBharat Its not a murder case it was a SuicideYou should check the details of that case 1s,0
✨Sayani 🦋,SayaniGS,"Sharing My PoV on Public Matters || Quotes || Fun Quiz and Riddles || Movies || Technology
||

THOUGHT: Don't Live in the Past, There's no Future in it",1898,2362,India,SC hearing on Arnabs bail plea shud go clear as a matter of revenge from Maha Govt and PoliceAll the FIRs detai,0
paypal only,OkurAquarius,"Real ass bitch, give a fuck 'bout a *****",143,95,,Man I cant wait to leave I have depression again here,1
Nisshant Singh,nissh18,Political Enthusiast || Criminal Lawyer,117,78,Mumbai,jainpri2003 barandbench Also if you guys can blame a RheaChakraborty without Suicide letter Arnab was named in,0
Shea,NVtheEngineer,Mixing Engineer || Artist || Gamer || Streamer || IT Tech || NYG-NYM-MMA-Pro Wrestling || Gaming & Mixing Music Live On @Twitch || 🎛🎤🎧🥁🎸🎹🎮🖥🎚,749,580,"Clovis, NM || Howell, NJ",I was a depressed miserable wreck last year Now Im not depressed but the problems are different I thought I,0
Vijayendra M,VijayendraMany1,,34,2,,brajkumar katchannaidu It will be suicidal for all the parties if they dont raise their voice beforehand,0
Ufuk Ince,UfukIncePhD,Investment fiduciary,1163,1238,"Seattle, WA",mtmalinen Add to that we in the US are in an economic depression since Sept 19 2019 per your determination an,0
bren 🧸🇩🇴,WorldFranchise_,@liluzivert is my dad| just a ginger head jit wit mixed personalities 🛸✨ nccu ♍️ #Blacklivesmatter,915,1035,entanglement,this will cure my depression,1
Priya S🇺🇸,psharmaaz,NRI 4Arnab| Stay United|Let's Fight it together🙏|#JusticeForSSR|#JusticeForDisha| #JusticeForJiah | 🙏💪|backup account @psharmazzz,253,236,United States🇺🇸,KaurJustice4ssr kanishk2414 LiveLawIndia Yes cannot be suicide at all Cbi must investigate the murder immedi,0
💦Kayy Tyler💙🐙,kayyz_99,Lv. 21 Witch🌒🌕🌘One Foot At A Time 💖💜💙LOVING MY PLATONIC SOULMATE @kevy_grayce♠️ ⎊,1516,232,,Oh yeah What if I went on a date huh What then depression you b i t c h,0
Ellie’s Mom 🦊,MischiefMegand,mama to 2 shibas and 3 kitty’s. yes I got married at Disneyland and yes it was worth the money.,421,70,,Briteezy Being so depressed and overwhelmed to clean is the actual worst Its such a hard thing to overcome but,0
cin,agxcin,,154,246,,bro fr this shit depressing,1
エリザベス liz⁷,elizstaples,♌︎ The summer of '95 I graced the world with my presence // she/they // ♡ 8123 // emo kpop stan // EXO|BTS // #MMIW #BLM 🏳️‍🌈,354,412,Stolen Land/Monacan Territory,DRIVELFTV yeeah happens to me a lot when Im depressed tbh,1
Vanarajanam,Vanarajanam,,1,0,,lostsoulapu PMOIndia HMOIndia iRaviTiwari ippatel pradip103 PreetiPandey lol it was a suicide even cbi u,0
Sylvia🎃,sylsyl714,stay happy,514,291,"San Antonio, TX",Ahh the seasonal depression naps are back,0
mandy 🪴,mandynco,• taurus • 22 • htx • blacklivesmatter •,500,572,"Texas, USA",watching new moon for the second time in two weeks depression who,0
News Head,DisCourseOfOurs,It’s news time baby,25,9,,Girl with the Dragon Tattoo but also Bisexuality and Depression,1
A Bot,neverhaveee,,33,0,,Never have I ever refused a trashcan I felt so depressed later when I told my significant other My significant o,1
alex,alexolaldeee,"they/them
ACABBBBBB",51,19,,ik im depressed when all i wanna do is play subway surfers and listen to sad music,1
si,probed,19. probably with da boys,4,3,,forcing me on the horse is so fucking depressing dude,1
Maricarmen Alvarez,Maricaarmeenn,Half of the stuff I tweet is what I really wish I could say out loud.,73,470,"Dallas, Texas",Me listening to fineline and being depressed rn,1
marasabs,marasabs,Lover. Mother. Daughter. Sister. Talented Learner. Good cook. Sweets junkie. :),207,61,Mandaluyong,Last night I had to take care of a death in service That was one thing Apparently the person died of suicide an,1
Mystic Mage,MysticalMage31,,208,176,,Scorpion1000335 XPKYT makotoshibata And it actively ruins the series and character by it being there So get r,0
Slightly Here (she/her) 🏳️‍🌈,Slightly_Here,"living my hermit life
#autistic #bpd #ptsd
strengths: knitting, memes
weaknesses: insomnia, stairs
superfan of weird history, sci fi and fantasy",211,138,,DrAlanRobinson Ive actually never thought about thisI think Im split between behind my face and in my chest,0
Bikram Roy,lsanuisa,"running student, live the life and be cool .have  interest in booksssss 😙😙😚😚😚😘😘😘😘",80,20,"Sainthia, India",Rpushpal YodhaSanatani ANI Go through the newspaper daily firstlyI am talking about Anvay Naik casewho wrot,0
Chaitra,Chaitra08__,,20,2,,theicai atulguptagst JambusariaNihar YouTube YouTubeIndia AniketTalati CaDayaniwas RajeshSharmaBJP,0
Only Angel²⁸,potato_928,15 // she/her // Harrie&Louie&Larrie // getting into the other boys’ music // TPWK // @noellecarnation on insta,1014,745,,My favorite coffee shop is closing I think my depression just got worse,1
KOT OCS👮,WaruiJohn2,"influencer, Business entrepreneur, politician, all acknowledge God as supreme and creator!",1260,7870,Kenya,Kiss100kenya KameneGoro JalangoMwenyewe How ukiwa inlove unakuwa mjinga sana Akilii inaenda flight mode,0
MAUREEN,Angrynigerian6,future billionaire I solve problems for a living |•writer•| |•i sell T-shirts•| |•no time for irrelevant conversations•|,1985,2205,Where Angels Cry ,Omo it was tough for me Was fucking depressed Couldnt talk to anyone coz I didnt want anyone to say is it beca,1
some kid (himbo szn) cr: oyasumi punpun,some_kid_online,"i don’t get caught lackin, i STAY lackin • anitwt nomad • 🐓🐟🌻 • watch FLCL and samurai champloo • cw gintama, aot countdown to s4 • alt @more_kid_online",1297,663,,hmmmm time for some upbeat yet painfully depressing vocaloid songs methinks,1
Dapper Don KP,saraapatta,University of Alabama Alumna 🐘 Atlanta 📍 I sew and shit. Ig: Spatta_ Business: @DressedbyKP,1152,3082,Souffside ,I be feeling so lonely and depressed around the holidays cause I dont have any family fr,1
DEAF BADDiE 🧚🏾‍♀️🌈,MissSimonex,a boss up and secure the bag ✨💰 • east side baby 🥳🤞🏾 • fems only 🥵 #justicebreonnataylor #blacklivematters,11812,12313,"Westside, Nap 📍",depression knows how to destroy your happiness for a reason,1
maeve ⁷ ꧂,BTSV0L6,#yoongi : i love maeverie ! // ! SHE ! FAI ! XE ! // ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ jimins real wife,537,445,tae | readcardbyf | anti | 14,tw depression its so bad todaytonight wow,1
Dr. Shadman Hassan,shadmanhassann,"CEO- Bihar Premier League, BPL² & Samadhaan.

Miftaah shopping complex, Raisa Ben Hospital (Navi Mumbai) coming soon.

Bringing glory to Bihar, India. SCP soon.",60,220,"Patna, Manipal, Mumbai, Delhi.",We hope for immediate action amp quick rescue to save the precious life of the Meg prevent suicideWe hope for coo,0
Mackk,Bee_Mackk,Blessed beyond measures 🙏🏽. Instagram:Bee_Mackk SC: Bee_Mackk TxSU 📚,422,3815,"Houston, TX",Our mental health isnt something that should be played with or taken lightly Get out a speak to somebody anybody,1
Prampsy,prasak2018,"Chelsea ⚽💙 Mrs. @lamps_sakar ❤️
Blood Group:O-ve",345,93,Nepal,Samjhiney mutuby the Edge band sounds so suicidal man Words like marna paye hunthyo ankha chimlina paye hunt,0
Michael Imali,imalimeansmoney,"Instagram: @imalimeansmoney                        Snapchat: @imaliftc                                          IMALI on Apple Music, Spotify, ALL PLATFORMS",91,78,Bay Area,Stressed and depressed after today frs fuck moving,1
Anuj Mokal,AnujMokal8,"confused brain with stupid ideas. 
प्रोफेशनली स्ट्रगलिंग,  पॉलिटिकली कन्फ्यूज्ड.  रिक्रूटर टर्न्ड सिविल इंजीनियर. 
कोहली फैन. oldschool",1269,24,"करनाल, भारत",SajPakPassion It will be better if you can guard them from firing grenades suicide bombers,0
Lauren sweet tea in the summer ミ☆,SwiftJunkie1989,"Sarcasm is my weapon. Taylor Swift is my kryptonite. Harry Styles, Jodie Comer, and Taylor Swift are my Holy Trinity. RIPNaya ミ☆",1988,2122,,My mom just said you dont have covid youre depressed ummm gee thanks,0
ʕ⊙ᴥ⊙ʔ,pisspizzeria,literally every single thought that pops into my head,58,60,she/her,suicidal tonight,1
G ✨,giseeeellll,MOM 👶🏻💖 . Isaac ❤️,862,1076,"Whatever forever, Tx ",I honestly wish postpartum depression was talked about more bc if happens to the best of us amp sometimes you dont e,0
HaramKhor Bal Thackeray,HaramkhorT,,7,3,,fyidesi ravidolse barandbench Manoj Chaudhary Suicide case why Udhav is still not arrested as Arnab and why poli,0
T.,Tselanky,My cat and plants probably call me a bad mom.,136,100,,Im crying in the club My birthday is always a celebration of my failed suicide attempts and Tepiso never lets me,0
